ID,Credit Amount,Is Male,Age in Years,Repay Delay Sep,Repay Delay Aug,Repay Delay Jul,Prior Pay Sep,Prior Pay Aug,Prior Pay Jul,Defaulted,Graduate School,Is Married,Prior Pay Total,Repay Delay Total
1,20000,False,24,2,2,0,0,689,0,True,0,True,689,4
2,120000,False,26,0,2,0,0,1000,1000,True,0,False,5000,4
3,90000,False,34,0,0,0,1518,1500,1000,False,0,False,11018,0
4,50000,False,37,0,0,0,2000,2019,1200,False,0,True,8388,0
5,50000,True,57,0,0,0,2000,36681,10000,False,0,True,59049,0
6,50000,True,37,0,0,0,2500,1815,657,False,1,False,7772,0
8,100000,False,23,0,0,0,380,601,0,False,0,False,4791,0
9,140000,False,28,0,0,2,3329,0,432,False,0,True,6761,2
10,20000,True,35,0,0,0,0,0,0,False,0,False,14129,0
11,200000,False,34,0,0,2,2306,12,50,False,0,False,6472,2
12,260000,False,51,0,0,0,21818,9966,8583,False,1,False,66308,2
13,630000,False,41,0,0,0,1000,6500,6500,False,0,False,23370,0
15,250000,True,29,0,0,0,3000,3000,3000,False,1,False,18000,0
16,50000,False,23,1,2,0,0,1500,1100,False,0,False,6200,3
19,360000,False,49,1,0,0,0,0,0,False,1,True,0,1
20,180000,False,29,1,0,0,0,0,0,False,1,False,0,1
21,130000,False,39,0,0,0,3000,1537,1000,False,0,False,42231,0
22,120000,False,39,0,0,0,316,316,0,True,0,True,1580,0
24,450000,False,40,0,0,0,19428,1473,560,True,1,True,22589,0
25,90000,True,23,0,0,0,5757,0,5398,False,1,False,16400,0
26,50000,True,23,0,0,0,1973,1426,1001,False,0,False,7891,0
27,60000,True,27,1,0,0,0,1000,0,True,1,False,2500,1
28,50000,False,30,0,0,0,1300,1300,1000,False,0,False,7112,0
29,50000,False,47,0,0,0,3415,3421,2044,False,0,True,39567,0
30,50000,True,26,0,0,0,1500,1500,1000,False,1,False,6600,0
31,230000,False,27,0,0,0,17270,13281,15339,False,1,False,97489,0
32,50000,True,33,2,0,0,1718,1500,1000,True,0,False,6934,2
33,100000,True,32,0,0,0,3023,3511,3302,False,1,False,18744,0
35,500000,True,58,0,0,0,5006,31178,3180,False,1,True,45425,0
36,160000,True,30,0,0,0,131,396,396,False,1,False,2280,0
37,280000,True,40,0,0,0,8026,8060,6300,False,0,True,41923,0
38,60000,False,22,0,0,0,1500,1518,2043,False,0,False,53349,0
39,50000,True,25,1,0,0,780,0,0,True,1,False,780,1
40,280000,True,31,0,0,2,9075,0,9976,False,1,False,37357,2
42,70000,False,25,0,0,0,3000,4500,4042,False,1,False,19342,0
43,10000,True,22,0,0,0,1500,2927,1000,False,0,False,7227,0
44,140000,False,37,0,0,0,3000,3000,3000,False,0,True,20000,0
45,40000,False,30,0,0,0,3000,5000,0,False,1,False,13000,2
46,210000,True,29,0,0,0,0,0,0,True,1,False,0,0
47,20000,False,22,0,0,2,3000,0,16741,True,1,False,20075,2
48,150000,False,46,0,0,0,1013,1170,0,True,0,False,2183,0
49,380000,True,32,0,0,0,21540,15138,24677,False,0,False,93332,0
50,20000,True,24,0,0,0,1318,1315,704,False,1,False,6246,0
52,100000,False,43,0,0,0,2000,1606,1500,False,0,False,9606,0
53,310000,False,49,0,0,0,7875,7600,11185,False,0,True,30668,0
54,180000,False,25,1,2,0,1300,2010,1762,False,1,False,10246,3
55,150000,False,29,2,0,0,1600,1718,1049,False,1,False,12867,2
56,500000,False,45,0,0,0,3640,162,0,False,1,True,6483,0
57,180000,False,34,0,0,0,8500,1500,7500,False,0,True,29179,0
58,180000,False,34,0,0,0,8083,7296,5253,False,0,True,34062,0
61,500000,False,28,0,0,0,1516,1300,1000,True,0,True,8816,0
62,70000,True,39,0,0,0,4025,2095,1000,False,0,True,12120,0
64,50000,False,46,0,0,0,1000,0,0,True,0,True,1000,0
65,130000,False,51,0,0,0,0,0,0,False,0,True,2353,0
66,200000,True,57,0,0,0,0,0,8222,True,1,True,9522,4
68,210000,False,30,2,0,0,300,1159,2280,False,1,False,9198,2
69,130000,False,29,1,0,0,0,0,20161,False,0,False,41379,3
70,20000,True,22,2,0,0,0,1200,1000,False,0,False,3700,2
71,80000,True,31,0,0,0,0,390,390,False,1,False,1950,0
73,200000,False,32,0,0,0,5818,15,9102,False,0,True,19512,2
74,290000,False,37,1,0,0,0,3155,0,False,1,False,5514,1
76,20000,True,24,0,0,2,2850,0,610,False,0,False,5590,2
77,50000,True,25,0,0,0,1759,1779,320,False,0,False,6358,0
78,300000,False,45,0,0,0,291,291,291,False,1,True,1746,0
79,30000,False,22,0,0,0,1686,1400,560,True,0,False,8411,0
80,240000,False,44,1,0,0,0,0,0,True,0,False,0,1
81,470000,False,33,0,0,0,6400,7566,3000,False,0,False,21926,0
83,60000,True,30,0,0,0,1576,1213,648,True,0,False,5345,0
84,400000,False,44,0,0,2,10700,3,3050,False,0,True,22753,2
85,50000,False,49,0,0,0,1676,1302,700,False,0,False,6052,0
87,360000,False,45,0,0,2,1170,0,0,True,1,True,2340,2
88,160000,False,32,0,0,0,1147,2000,2000,False,0,False,8216,0
89,130000,False,35,0,0,0,40000,5000,1330,False,1,True,56705,0
92,280000,False,39,0,0,0,0,3968,0,False,1,False,3968,0
93,100000,False,27,0,0,0,7555,0,0,False,1,False,7555,0
94,160000,False,37,0,0,0,1602,840,840,False,0,True,11018,0
95,60000,False,23,0,0,0,1937,1301,682,False,0,False,6261,0
96,90000,True,35,0,0,0,3621,3597,1179,False,0,False,11756,0
98,150000,True,27,0,0,0,4031,10006,3266,False,1,False,23841,0
99,50000,False,22,0,0,0,1411,1194,379,False,0,True,3783,0
100,20000,True,38,0,0,0,1699,1460,626,True,0,True,5685,0
101,140000,True,32,0,0,0,10212,850,415,False,1,False,13007,0
102,380000,False,30,0,0,0,223,33178,1171,False,1,False,42019,0
104,50000,False,22,0,0,0,1767,1362,1002,True,0,False,6870,0
106,70000,False,24,0,0,0,0,0,0,False,0,False,28529,0
107,80000,False,36,0,0,0,2861,3279,3319,False,0,True,12794,0
108,350000,True,52,0,0,0,2272,722,867,False,1,False,15285,0
110,360000,True,35,1,0,0,0,0,0,False,0,True,0,1
111,330000,False,31,0,0,2,9260,0,3593,False,1,True,32747,2
112,50000,True,47,0,0,2,2000,1000,1000,False,0,True,7000,2
114,100000,False,24,0,0,0,2000,2677,3076,False,1,False,17866,0
115,50000,True,41,0,0,0,1340,1305,700,False,0,False,5471,0
117,240000,True,28,0,0,0,326,326,5676,False,1,False,7656,0
118,80000,True,26,2,0,0,2000,1700,1000,True,0,False,7700,2
119,400000,True,34,0,0,0,9677,11867,7839,False,0,True,57891,0
