,Credit Amount,Repay Delay Sep,Repay Delay Aug,Repay Delay Jul,Prior Pay Sep,Prior Pay Aug,Prior Pay Jul,Graduate School,Is Married,Prior Pay Total,Repay Delay Total,Defaulted
14720,130000,0,0,0,10000,10000,15000,0,False,70000,0,False
2522,200000,0,0,0,753,547,2,0,False,3344,0,False
24918,90000,0,0,0,1968,1968,1218,0,False,8132,0,True
35444,200000,0,0,0,372,865,23,1,False,72777,0,True
7608,260000,0,0,0,10027,10107,20000,1,True,70134,0,False
23327,30000,1,0,0,0,0,0,0,True,0,1,True
37461,100000,0,0,0,853,1581,13,0,False,5442,0,True
10828,250000,1,0,0,0,0,0,1,True,3861,1,False
14606,140000,0,0,0,0,8579,11034,0,False,44228,0,True
35619,360000,1,0,0,0,0,0,0,True,0,1,True
14244,50000,0,0,0,2100,2100,2500,0,False,13700,0,False
23252,500000,0,0,0,3001,1320,2007,1,True,14676,0,False
28154,50000,2,1,0,0,892,227,1,False,1120,3,True
38029,50000,0,0,0,4384,0,249,0,False,8159,0,True
35600,20000,0,0,0,1714,1796,2000,0,False,11734,0,True
37479,360000,0,0,0,0,0,0,0,False,0,0,True
33908,270000,0,0,0,3119,3138,3162,0,True,16082,0,True
26247,50000,1,0,0,2522,2421,381,0,False,6306,1,True
21670,200000,1,0,0,0,0,0,0,True,2865,1,False
18332,390000,0,0,0,1070,1226,4710,0,False,96962,0,False
6485,100000,1,2,0,0,1500,565,1,False,42317,3,False
3598,130000,0,0,0,5400,3100,3100,0,True,20900,0,False
29832,20000,1,0,0,1437,1000,248,0,False,3859,1,True
27814,50000,0,0,0,1934,1925,1030,0,False,7979,0,True
26550,240000,0,0,0,8330,8921,7502,0,False,43825,0,True
7414,500000,0,0,0,4969,6802,11523,1,True,36844,0,False
15365,440000,0,0,0,6040,12538,5047,0,False,50247,0,False
9531,50000,0,0,0,1155,1000,73,0,True,2228,0,False
26219,100000,0,0,0,948,955,910,0,False,6037,0,True
3453,200000,0,0,0,0,0,0,0,True,0,0,False
39065,150000,0,0,0,5764,9005,2259,0,False,22187,3,True
23637,60000,1,2,0,0,1617,2000,0,True,4887,5,False
31005,160000,0,0,0,372,372,555,1,False,2211,0,True
9317,140000,0,0,0,6500,6500,5000,1,False,32168,0,False
21243,450000,0,0,0,889,1104,2999,0,False,6374,0,False
29900,160000,0,0,0,0,0,90,1,True,1334,0,True
33063,150000,0,0,0,2892,3320,2088,0,False,22284,0,True
39074,50000,0,0,0,2077,2035,2000,0,True,12168,0,True
40164,140000,0,0,0,8254,424,434,0,False,10404,0,True
36108,585934,0,0,0,10327,11597,10620,0,True,62640,0,True
26477,120000,0,0,0,5483,9798,3542,0,False,29651,0,True
23291,160000,0,0,0,7944,1080,0,1,True,72203,0,False
214,220000,2,0,0,10000,9020,6000,1,True,42020,2,True
25230,90000,0,0,0,2722,3979,2532,0,False,16030,0,True
38183,200000,0,0,0,0,0,0,1,False,0,0,True
4823,130000,0,0,0,1500,382,2000,0,True,8882,0,False
9747,80000,0,0,0,2100,3000,2000,1,False,13100,0,False
26612,180000,0,0,0,3117,6879,6327,1,False,31491,2,True
37215,280000,0,0,0,1002,434,2039,0,True,5862,0,True
10409,60000,0,0,0,696,696,696,0,False,3860,0,True
10456,70000,2,0,0,1500,1300,1505,0,True,8305,2,True
21724,150000,0,0,2,4850,2000,2000,1,False,14350,2,False
14243,130000,0,0,0,1612,1639,1586,0,False,8903,0,False
17521,80000,0,0,0,1822,2401,2581,0,True,13604,0,False
3803,20000,0,0,0,1600,2500,1000,0,False,7539,0,False
38707,390000,0,0,0,114,36,0,0,True,762,0,True
10061,500000,0,0,0,10000,2200,3500,0,False,17600,2,False
12227,320000,0,0,2,21041,1514,9122,0,False,60617,2,False
20138,20000,0,0,0,1180,1505,1517,0,True,6359,2,True
16533,200000,0,0,0,1024,492,2038,0,False,6362,0,False
30250,20000,0,0,0,1176,1340,166,0,False,4285,0,True
4140,200000,0,0,0,4543,5000,4500,0,True,21443,0,True
14325,20000,1,2,0,0,1600,1600,0,True,7121,3,True
15109,200000,0,0,0,5388,3300,2124,0,True,23571,0,True
1652,60000,0,0,0,2000,1300,2000,1,False,9300,0,False
32168,230000,0,0,0,387,2597,0,1,True,5232,0,True
14704,330000,0,0,0,12500,13306,6000,1,True,53139,0,False
37856,310000,0,0,0,11346,10161,8685,0,False,54467,0,True
21406,20000,0,0,0,1564,2000,2000,0,False,8101,0,True
36999,20000,0,0,0,1700,1914,227,0,True,6248,2,True
37724,50000,0,0,0,1831,1591,470,0,False,5260,0,True
31238,30000,1,2,0,0,1483,790,0,False,4673,3,True
11358,260000,0,0,0,5525,1390,2095,1,False,16280,0,False
16203,310000,0,0,0,3016,3031,10091,1,True,29274,0,False
5926,80000,0,0,0,1000,0,0,0,False,1000,0,False
2202,40000,0,0,0,4300,2000,2938,0,True,12938,4,False
19907,240000,0,0,0,7648,7900,8000,0,True,43948,0,False
25666,200000,0,0,0,1094,1039,364,1,False,3315,0,True
34711,90000,2,0,0,2976,3001,3000,0,False,24179,2,True
11142,360000,0,0,0,0,0,1149,1,True,8638,0,False
21702,100000,0,0,0,5712,3503,59000,0,True,71815,0,False
29959,50000,0,0,0,1368,1303,5114,0,True,21466,0,True
34944,80000,0,0,0,4212,3825,3511,0,False,18082,2,True
32623,360000,1,0,0,0,0,0,0,False,0,1,True
18579,170000,0,0,0,0,978,1009,0,True,4000,0,False
9746,60000,0,0,0,1284,1293,644,0,False,8387,0,False
2835,60000,0,0,0,1468,2000,0,0,False,5468,0,False
39045,50000,0,0,2,2361,0,1557,0,False,5664,2,True
25329,20000,0,0,0,1261,1358,1131,0,False,4783,0,True
625,500000,0,0,0,4006,2383,1126,0,False,10465,0,False
39273,120000,0,2,0,0,805,3622,0,False,6883,2,True
37405,360000,0,0,0,1641,4461,2355,0,True,18534,0,True
7218,350000,0,0,0,3500,5300,2500,1,False,17300,0,False
21132,230000,0,0,0,7398,5537,1259,1,False,19328,0,False
6559,140000,0,0,0,64555,2898,1890,1,False,75243,0,True
32716,412275,0,0,0,11349,14224,13956,0,True,89792,0,True
629,230000,2,0,0,1222,1837,0,0,True,26556,2,True
21219,120000,1,2,0,15,3500,2000,0,False,13515,3,False
19895,160000,0,0,0,6000,25409,30000,1,False,75909,0,False
31032,360000,0,0,0,0,0,0,0,True,0,0,True
31587,100000,2,0,0,2896,2094,1928,0,False,17179,3,True
8523,100000,0,0,0,3143,3052,3264,0,False,23247,2,False
25486,10000,0,0,1,2235,107,949,0,False,11082,2,True
23370,80000,0,0,0,2000,2000,1090,0,True,12940,0,False
6906,10000,0,0,0,1279,1083,500,0,False,5004,0,False
